29940641, -491520, -6336489
29305296, -491520, -10350346
27461426, -491520, -13971782
24586713, -491520, -16848616
20963613, -491520, -18696122
16946896, -491520, -19333400
12929871, -491520, -18698056
9308429, -491520, -16854184
6431596, -491520, -13979471
4584090, -491520, -10356371
3946812, -491520, -6339655
4582161, -491520, -2322631
4268690, -491520, -4303094
4904984, -491520, -286219
6751598, -491520, 3337332
9627718, -491520, 6212752
13251721, -491520, 8058480
17265578, -491520, 8693794
21282448, -491520, 8057500
24905999, -491520, 6210886
27781418, -491520, 3334766
29627146, -491520, -289237
30262466, -491520, -4303094
29627146, -491520, -8316945
27781418, -491520, -11940949
24905999, -491520, -14817069
21282448, -491520, -16663683
17265578, -491520, -17299982
13251721, -491520, -16664662
9627718, -491520, -14818934
6751598, -491520, -11943515
4904984, -491520, -8319964
4268690, -491520, -4303094
4582161, -491520, -6283553
3946813, -491520, -2266525
4584092, -491520, 1750190
6431600, -491520, 5373290
9308433, -491520, 8248001
12929878, -491520, 10091865
16946901, -491520, 10727212
20963617, -491520, 10089932
24586715, -491520, 8242425
27461426, -491520, 5365591
29305296, -491520, 1744148
29940637, -491520, -2269703
29304340, -491520, -6286576
27457715, -491520, -9910124
24581586, -491520, -12785538
20957579, -491520, -14631270
16943723, -491520, -15266613
12926851, -491520, -14630315
9303302, -491520, -12783691
6427888, -491520, -9907561
4582161, -491520, -6283553
5492855, -491520, -8071660
3647094, -491520, -4447659
3011753, -491520, -430632
3649042, -491520, 3586087
5496564, -491520, 7209184
8370840, -491520, 10082034
11994837, -491520, 11927792
16011864, -491520, 12563133
20028582, -491520, 11925843
23651679, -491520, 10078321
26524534, -491520, 7204049
28369306, -491520, 3583067
29005630, -491520, -433806
28369319, -491520, -4450679
26522684, -491520, -8074227
23646549, -491520, -10949645
20025562, -491520, -12794420
16008690, -491520, -13430744
11991817, -491520, -12794433
8368269, -491520, -10947798
5492855, -491520, -8071660
6911605, -491520, -9490756
4036166, -491520, -6614637
2190415, -491520, -2990639
1555084, -491520, 1026390
2192388, -491520, 5043106
4038051, -491520, 8663639
6914167, -491520, 11539074
10538165, -491520, 13384825
14555193, -491520, 14020155
18571910, -491520, 13382851
22192446, -491520, 11537193
25066012, -491520, 8663640
26912650, -491520, 5040092
27548959, -491520, 1023219
26912638, -491520, -2993653
25066000, -491520, -6617202
22192443, -491520, -9490772
18568896, -491520, -11337410
14552023, -491520, -11973719
10535151, -491520, -11337398
6911605, -491520, -9490756
8699488, -491520, -10401887
5075926, -491520, -8555274
2200498, -491520, -5679157
354758, -491520, -2055157
-280559, -491520, 1961871
355769, -491520, 5975571
2202381, -491520, 9599128
5078497, -491520, 12474556
8702497, -491520, 14320296
12719525, -491520, 14955612
16733227, -491520, 14319290
20354214, -491520, 12474538
23230346, -491520, 9599124
25076970, -491520, 5975574
25713269, -491520, 1958702
25076946, -491520, -2058168
23232192, -491520, -5679160
20356778, -491520, -8555292
16733228, -491520, -10401915
12716357, -491520, -11038214
8699488, -491520, -10401887
10681437, -491520, -10715841
6664562, -491520, -10079547
3041011, -491520, -8232933
165591, -491520, -5356813
-1680137, -491520, -1732810
-2315451, -491520, 2281047
-1679157, -491520, 6297917
